id,tweet,language,date,time,user_id,name,username,retweets_count,replies_count,likes_count
1555459915573067776,¡Empezamos!🙌 Día de #desafíodetripulaciones⚔ en Madrid. Mucha suerte a tod@s con vuestros proyectos ¡Seguro que habéis desarrollado unas webapps increíbles! Síguelo 🔴EN DIRECTO  https://t.co/ejD0LT14IC,es,2022-08-05,09:45:17,1162694149956603904,The Bridge,thebridge_tech,1,0,3
1555087891872636928,"💰 Julio supera los 360 millones de euros invertidos en #startups, mientras que 2022 supera ya los 2.384 millones  Entre las rondas cerradas este último mes, encontramos las de nuestros socios @TheBridge_Tech y @LogistikoLabs 👏  (vía @ElReferente 🗞)  https://t.co/W2pfmnLmD6",es,2022-08-04,09:07:00,874916978665938945,Startup Valencia,startup_vlc,3,0,7
1554445479873810439,"¡Seguimos creciendo y vamos #FromGoodToGreat! Gracias a todos los que formáis parte de @the bridge ¡Es una suerte contar con tod@s vosotr@s! Sin duda, sois el alma de la fiesta👯♂️ Si os la habéis perdido, pronto habrá otra y seguro, más cosas que celebrar😉  https://t.co/eTpGRVHrW8",es,2022-08-02,14:34:17,1162694149956603904,The Bridge,thebridge_tech,0,0,2
1554099392977707008,𝗗𝗲𝘀𝗮𝗳𝗶𝗼 𝗱𝗲 𝘁𝗿𝗶𝗽𝘂𝗹𝗮𝗰𝗶𝗼𝗻𝗲𝘀💻📲  Alumnos de desarrollo web full stack y data science de @TheBridge_Tech y @uchceu nos visitaron para presentar sus proyectos finales.   #BootcampExperience #DesarrolloWeb #DataScience #DigitalTalent  https://t.co/1I6plykqEL,es,2022-08-01,15:39:03,763323065199628288,Zeus,insidezeusdata,4,0,4
1552726310186893313,@manuelfherrador @loretogf @TheBridge_Tech @uriondo @JotDownSpain @imparsifal ¡Tú déjales que nos 'puentean' rápido! 🙃,es,2022-07-28,20:42:55,92249250,Jesús María López de Uribe,uribex,0,0,1
1552725704588103680,@loretogf @UribeX @TheBridge_Tech @uriondo @JotDownSpain @imparsifal ¡Pero no va de puentes! :(,es,2022-07-28,20:40:30,45599578,Manuel F. Herrador,manuelfherrador,0,1,2
1552702280704704512,@loretogf @TheBridge_Tech @uriondo @JotDownSpain Y tanto!!,es,2022-07-28,19:07:26,462004230,Ángel L. Fernández,imparsifal,0,0,2
1552701420218056704,"Comienza la masterclass en @TheBridge_Tech de @uriondo hablando de cómo evitar ser #Periodista?!?! En serio?!?! jajaja con lo que mola el curso de @JotDownSpain,  verdad @imparsifal?  https://t.co/EFVSpRN56s",es,2022-07-28,19:04:01,242444362,Loretogf,loretogf,6,2,16
1552352053346852864,Mañana tenemos esto 👇  https://t.co/mHGMocUoP2  Os esperamos a las 19:00 en @TheBridge_Tech para hablar de periodismo con @uriondo,es,2022-07-27,19:55:45,243608028,Jot Down Magazine,jotdownspain,5,0,4
1552252500979421186,"🤝🏼 @ceeivalencia y @TheBridge_Tech, primera aceleradora de talento digital, firman un convenio de colaboración:  https://t.co/8neFc4j8i4  🎯 Complementar la formación técnica del nuevo talento, entre sus principales objetivos.",es,2022-07-27,13:20:10,89141857,Emprenemjunts,emprenemjunts,0,0,0
1551147845230764033,El próximo jueves 28 estaremos em @TheBridge_Tech con @uriondo que impartirá la masterclass «Evita el periodismo: una oda a la profesión». La asistencia es gratuita hasta completar aforo. Os esperamos.  https://t.co/mHGMocUoP2,es,2022-07-24,12:10:39,243608028,Jot Down Magazine,jotdownspain,10,0,15
1550108349924089856,@uriondo @GuillermoDeHaro @JotDownSpain @TheBridge_Tech @Google @ottoreuss ¿Cómo? ¿Cápasao?,es,2022-07-21,15:20:04,92249250,Jesús María López de Uribe,uribex,0,0,0
1550056091274428419,@GuillermoDeHaro @JotDownSpain @TheBridge_Tech @Google 'Mala y ware' parece una colaboración musical entre la Mala Rodríguez y @ottoreuss 😂,es,2022-07-21,11:52:25,2446351,Miguel Ángel Uriondo,uriondo,0,2,2
1550055498921148417,"@GuillermoDeHaro @JotDownSpain @uriondo @TheBridge_Tech @Google Sí, yo tampoco quiero ser mal pensado, pero...",es,2022-07-21,11:50:04,1623075325,alfonso vila francés,vilafrances,0,0,2
1549455964159594496,@uriondo @TheBridge_Tech @JotDownSpain Justo donde nos hemos formado unos cuantos experiodistas para dejar de serlo :P Intentaré ir!,es,2022-07-19,20:07:44,138734492,Raúl M.,cherendler_bond,0,0,2
